game,name,board,name,format
1,Ms. Pac Man - arcade,0,TOP SCORES {@24}(Arcade Settings),"___,__0"
1,Ms. Pac Man - any,1,TOP SCORES {@24}(Any Settings),"___,__0"
4,Galaga - arcade,10,TOP SCORES {@24}(Arcade Settings),"___,__0"
4,Galaga - any,11,TOP SCORES {@24}(Any Settings),"___,__0"
2,Dig Dug - arcade,20,TOP SCORES {@24}(Arcade Settings),"___,__0{3} (__0)"
2,Dig Dug - any,21,TOP SCORES {@24}(Any Settings),"___,__0{3} (__0)"
7,Mappy - arcade,30,TOP SCORES {@24}(Arcade Settings),"_,___,__0{4} (___0)"
7,Mappy - any,31,TOP SCORES {@24}(Any Settings),"_,___,__0{4} (___0)"
8,Rally X - arcade,40,TOP SCORES {@24}(Arcade Settings),"__,___,__0"
8,Rally X - any,41,TOP SCORES {@24}(Any Settings),"__,___,__0"
10,Rompers - arcade,50,TOP SCORES {@24}(Arcade Settings),"___,___,__0{3} (__0)"
10,Rompers - any,51,TOP SCORES {@24}(Any Settings),"___,___,__0{3} (__0)"
13,Dragon Spirit - arcade,60,TOP SCORES {@24}(Arcade Settings),"_,___,__0{2} (_0)"
13,Dragon Spirit - any,61,TOP SCORES {@24}(Any Settings),"_,___,__0{2} (_0)"
14,Xevious - arcade,70,TOP SCORES {@24}(Arcade Settings),"_,___,__0"
14,Xevious - any,71,TOP SCORES {@24}(Any Settings),"_,___,__0"
12,King & Balloon - arcade,80,TOP SCORES {@24}(Arcade Settings),"___,__0"
12,King & Balloon - any,81,TOP SCORES {@24}(Any Settings),"___,__0"
11,The Tower of Druaga - arcade,90,TOP SCORES {@24}(Arcade Settings),"_,___,__0{4} (___0)"
11,The Tower of Druaga - any,91,TOP SCORES {@24}(Any Settings),"_,___,__0{4} (___0)"
6,Galaxian,100,TOP SCORES {@24}(Arcade Settings),"___,__0"
6,Galaxian,101,TOP SCORES {@24}(Any Settings),"___,__0"
9,Rolling Thunder,110,TOP SCORES {@24}(Arcade Settings),"_,___,__0{2} (_0)"
9,Rolling Thunder,111,TOP SCORES {@24}(Any Settings),"_,___,__0{2} (_0)"
5,Galaga '88,120,TOP SCORES {@24}(Arcade Settings),"_,___,__0{3} (0{2}-_0)"
5,Galaga '88,121,TOP SCORES {@24}(Any Settings),"_,___,__0{3} (0{2}-_0)"
3,Dig Dug II,130,TOP SCORES {@24}(Arcade Settings),"_,___,__0{2} (_0)"
3,Dig Dug II,131,TOP SCORES {@24}(Any Settings),"_,___,__0{2} (_0)"
15,Pac-Mania,140,TOP SCORES {@24}(Arcade Settings),"___,___,__0{3} (__0)"
15,Pac-Mania,141,TOP SCORES {@24}(Any Settings),"___,___,__0{3} (__0)"
16,Pac-Man,150,TOP SCORES {@24}(Arcade Settings),"___,__0"
16,Pac-Man,151,TOP SCORES {@24}(Any Settings),"___,__0"
17,Super Pac-Man,160,TOP SCORES {@24}(Arcade Settings),"_,___,__0{2} (_0)"
17,Super Pac-Man,161,TOP SCORES {@24}(Any Settings),"_,___,__0{2} (_0)"
18,Pac-Land,170,TOP SCORES {@24}(Arcade Settings),"__,___,__0{2} (_0)"
18,Pac-Land,171,TOP SCORES {@24}(Any Settings),"__,___,__0{2} (_0)"
19,Pac & Pal,180,TOP SCORES {@24}(Arcade Settings),"_,___,__0{2} (_0)"
19,Pac & Pal,181,TOP SCORES {@24}(Any Settings),"_,___,__0{2} (_0)"
20,Pac-Man Plus,190,TOP SCORES {@24}(Arcade Settings),"___,__0"
20,Pac-Man Plus,191,TOP SCORES {@24}(Any Settings),"___,__0"
21,Hopping Mappy,200,TOP SCORES {@24}(Arcade Settings),"___,__0{5} (____0)"
21,Hopping Mappy,201,TOP SCORES {@24}(Any Settings),"___,__0{5} (____0)"
22,Dragon Buster,210,TOP SCORES {@24}(Arcade Settings),"_,___,__0"
22,Dragon Buster,211,TOP SCORES {@24}(Any Settings),"_,___,__0"
